Test Name,8.1.0,Score_8.1.0,8.1.6
AddressBookAddAddressBookTest,passed,24,passed
AddressBookSearchAddressBookNameTest,passed,48,failed
AddressBookSearchAddressBookEmailTest,passed,48,failed
AddressBookAddGroupTest,passed,64,passed
AddressBookAssignToGroupTest,passed,67,passed
AddressBookSearchByGroupTest,passed,46,failed
AddressBookCheckBirthdayInfoTest,passed,64,passed
AddressBookCheckAddressBookTest,passed,63,passed
AddressBookPrintAddressBookTest,passed,64,passed
AddressBookEditAddressBookTest,passed,24,failed
AddressBookEditGroupTest,passed,61,passed
AddressBookRemoveFromGroupTest,passed,60,passed
AddressBookRemoveGroupTest,passed,73,passed
AddressBookRemoveAddressBookTest,passed,52,passed
AddressBookAddMultipleAddressBookTest,passed,25,failed
AddressBookSearchMultipleAddressBookNameTest,passed,46,failed
AddressBookAddMultipleGroupsTest,passed,59,passed
AddressBookAssignToMultipleGroupsTest,passed,56,passed
AddressBookSearchByMultipleGroupsTest,passed,44,failed
AddressBookCheckMultipleBirthdaysInfoTest,passed,57,passed
AddressBookCheckMultipleAddressBookTest,passed,58,passed
AddressBookPrintMultipleAddressBookTest,passed,52,passed
AddressBookEditMultipleAddressBookTest,passed,28,failed
AddressBookEditMultipleGroupsTest,passed,53,passed
AddressBookRemoveFromMultipleGroupsTest,passed,47,passed
AddressBookRemoveMultipleGroupsTest,passed,61,passed
AddressBookRemoveMultipleAddressBookTest,passed,51,passed
