Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

XPath, html/body/div[1]/div[4]/form[2]/table/tbody/tr[2]/td[1]/input, 0.850, 0.091, 0.000, 0.046
Name, add, 0.000, 0.091, 0.000, 0.046
XPath, html/body/div[1]/div[4]/div, 0.800, 0.149, 0.000, 0.075
LinkText, homepage, 0.300, 0.149, 0.000, 0.075
XPath, html/body/div[1]/div[4]/form[2]/table/tbody/tr[3]/td[1]/input, 0.850, 0.091, 1.000, 0.546
