Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

LinkText, gruppi, 0.300, 0.093, 0.000, 0.047
Name, selected[], 0.000, 0.127, 0.000, 0.063
Name, delete, 0.000, 0.127, 0.000, 0.063
XPath, .//*[@id='content']/div, 0.650, 0.149, 0.857, 0.503
