Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

Name, searchstring, 0.000, 0.095, 0.000, 0.048
Name, searchstring, 0.000, 0.095, 0.000, 0.048
XPath, html/body/div[1]/div[4]/label/strong, 0.817, 0.095, 0.000, 0.048
XPath, .//*[@id='maintable']/tbody/tr[2]/td[2], 0.775, 0.095, 0.000, 0.048
