Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

Name, group, 0.000, 0.094, 0.000, 0.047
XPath, html/body/div[1]/div[4]/form[2]/table/tbody/tr[2]/td[1]/input, 0.850, 0.091, 0.000, 0.046
Name, remove, 0.000, 0.091, 0.000, 0.046
XPath, .//*[@id='content']/div, 0.650, 0.149, 0.857, 0.503
