Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

Name, group, 0.000, 0.094, 0.000, 0.047
XPath, html/body/div[1]/div[4]/label/strong, 0.817, 0.091, 0.000, 0.046
XPath, .//*[@id='maintable']/tbody/tr[2]/td[2], 0.775, 0.091, 0.000, 0.046
XPath, .//*[@id='maintable']/tbody/tr[2]/td[3], 0.775, 0.091, 0.000, 0.046
XPath, .//*[@id='maintable']/tbody/tr[2]/td[4], 0.775, 0.091, 0.000, 0.046
XPath, .//*[@id='maintable']/tbody/tr[2]/td[5], 0.775, 0.091, 0.000, 0.046
